source_size_pc a_m_4 gamma_macro gamma_ext summary_statistic importance_weight 
56.397308 -0.003774 1.934905 0.092258 0.183865 1.0 
33.041381 0.018651 2.177668 0.153965 0.33352 1.0 
40.656298 -0.00185 1.992667 0.14487 0.127809 1.0 
52.99066 0.004791 2.229783 0.308761 0.207943 1.0 
39.621945 0.025594 1.880261 0.160278 0.04196 1.0 
26.945669 -0.013688 1.823143 0.10958 0.241013 1.0 
45.264951 0.002637 2.035783 0.176952 0.096949 1.0 
41.980507 0.000175 2.116117 0.222687 0.137843 1.0 
38.745851 -0.029029 2.180632 0.120874 0.527477 1.0 
55.671886 0.007556 1.94489 0.378975 0.184417 1.0 
44.73049 -0.008247 2.032956 0.290332 0.195526 1.0 
34.397232 -0.004368 1.947784 0.120643 0.073107 1.0 
40.873295 -0.007071 1.871139 0.156926 0.21911 1.0 
42.698376 -0.006954 2.163784 0.232855 0.157667 1.0 
31.43287 0.002959 1.869821 0.28712 0.275996 1.0 
52.469421 -0.016921 1.956682 0.221478 0.070816 1.0 
45.865865 0.000989 2.161033 0.091785 0.41129 1.0 
47.095075 -0.010667 2.243475 0.205748 0.269931 1.0 
33.6744 0.002232 1.970026 0.305292 0.1425 1.0 
58.887864 -0.007476 1.895561 0.264591 0.139382 1.0 
39.614397 -0.004636 2.052897 0.276958 0.257344 1.0 
55.091576 -0.012318 2.009699 0.330913 0.215531 1.0 
57.956056 0.012571 2.088695 0.199564 0.120904 1.0 
42.310687 -0.00833 2.284027 0.277859 0.075703 1.0 
58.470315 -0.002085 1.834896 0.367377 0.063461 1.0 
41.235249 -0.008429 1.993783 0.203437 0.193266 1.0 
46.594713 -0.000281 1.949525 0.153303 0.120384 1.0 
51.100044 -0.006777 1.829808 0.166948 0.298027 1.0 
46.795947 -0.00137 1.924398 0.107277 0.11012 1.0 
32.4375 0.00715 1.86832 0.103104 0.160177 1.0 
27.668029 -0.001489 1.810769 0.337679 0.52171 1.0 
30.489576 0.001068 2.258916 0.085212 0.879823 1.0 
56.939899 -0.014301 2.152548 0.163799 0.144363 1.0 
53.343695 -0.003447 1.944758 0.08233 0.088666 1.0 
54.786029 0.012638 2.023773 0.173122 0.148083 1.0 
27.022999 0.014472 1.807683 0.342966 0.271587 1.0 
53.07986 0.010173 2.291529 0.138244 0.792293 1.0 
43.079299 -0.002879 2.05112 0.105488 0.241592 1.0 
46.846068 -0.013744 1.81401 0.271389 0.206041 1.0 
52.675192 0.000871 1.939594 0.123859 0.206763 1.0 
27.041445 -0.000455 1.883584 0.222387 0.442444 1.0 
42.623913 -0.022539 2.205698 0.246243 0.21593 1.0 
28.46961 0.009115 2.116557 0.150937 0.212821 1.0 
34.858372 0.000215 1.998161 0.121206 0.097893 1.0 
55.095329 -0.002305 2.265369 0.331884 0.27903 1.0 
36.65672 -0.005308 2.132899 0.181676 0.157131 1.0 
50.220641 0.003925 2.142838 0.113673 0.451123 1.0 
38.541262 -0.020549 2.190589 0.220335 0.118658 1.0 
35.731092 0.012933 2.049056 0.37582 0.255729 1.0 
40.949233 0.008758 2.00127 0.253473 0.243334 1.0 
